abandon verlassen تخلى
ability Fähigkeit قدرة
able fähig قادر
abroad im Ausland في الخارج
absolute absolut مطلق
absolutely absolutly absolutly
accept akzeptieren يقبل
acceptable akzeptabel مقبول
accident Unfall حادث
accommodation Unterkunft إقامة
accompany begleiten يرافق
accurate genau دقيق
accuse beschuldigen يتهم
achieve erreichen يحقق
achievement Leistung إنجاز
acknowledge anerkennen يعترف
acquire erwerben يكتسب
action Aktion فعل
active aktiv نشط
activity Aktivität نشاط
actor Schauspieler ممثل
actress Schauspielerin ممثلة
actual tatsächlich فعلي
actually eigentlich في الواقع
ad Anzeige إعلان
adapt anpassen يتكيف
add hinzufügen يضيف
addition Zusatz إضافة
additional zusätzlich إضافي
administration Verwaltung إدارة
admire bewundern يعجب
admit zugeben يعترف
adopt adoptieren يتبنى
advanced fortgeschritten متقدم
advantage Vorteil ميزة
adventure Abenteuer مغامرة
advertise werben يُعلن
advertisement Werbung إعلان
advertising Werbung إعلانات
advice Ratschlag نصيحة
advise raten ينصح
afraid ängstlich خائف
afternoon Nachmittag بعد الظهر
afterwards danach بعد ذلك
again wieder مرة أخرى
against gegen ضد
aged gealtert مسن
agency Agentur وكالة
agenda Tagesordnung جدول أعمال
agent Agent وكيل
aggressive aggressiv عدواني
ago vor منذ
agree zustimmen يوافق
agreement Vereinbarung اتفاق
ahead voraus للأمام
air Luft هواء
aircraft Flugzeug طائرة
airline Fluggesellschaft خطوط جوية
airport Flughafen مطار
album Album ألبوم
alcohol Alkohol كحول
alcoholic alkoholisch كحولي
alive lebendig حي
allow erlauben يسمح
almost fast تقريبًا
alone allein وحيد
already schon بالفعل
also auch أيضًا
alter ändern يغير
although obwohl رغم
always immer دائمًا
amazed erstaunt مندهش
amazing erstaunlich مدهش
ambition Ehrgeiz طموح
ambitious ehrgeizig طموح
among unter بين
analyse analysieren يحلل
analysis Analyse تحليل
ancient antik قديم
and und و
anger Wut غضب
angle Winkel زاوية
angry wütend غاضب
animal Tier حيوان
ankle Knöchel كاحل
anniversary Jubiläum ذكرى
announce ankündigen يعلن
announcement Ankündigung إعلان
annoy ärgern يزعج
annoyed verärgert منزعج
annoying nervig مزعج
annual jährlich سنوي
another آخر آخر
anxious ängstlich قلق
anybody irgendjemand أي شخص
anyone irgendjemand أي أحد
anything irgendetwas أي شيء
anyway trotzdem على أي حال
apart auseinander منفصل
apartment Wohnung شقة
apologize entschuldigen يعتذر
app App تطبيق
apparent offensichtlich واضح
apparently anscheinend على ما يبدو
appear erscheinen يظهر
appearance Erscheinung مظهر
apple Apfel تفاحة
